"tract","Name","Household_Income_rH_gP_pall"
24510250205,"Lakeland, Baltimore, MD",
24005403300,"Lochearn, Pikesville, MD",
24510010300,"Canton, Baltimore, MD",
24510190300,"Mount Clare, Baltimore, MD",
24510271200,"Homeland, Baltimore, MD",
24005440600,"Rosedale, MD",
24510260302,"Belair - Edison, Baltimore, MD",
24510230100,"Baltimore, MD",
24510160700,"Rosemont, Baltimore, MD",
24005420701,"Dundalk, MD",
24510200500,"Mill Hill, Baltimore, MD",
24510280402,"Rognel Heights, Baltimore, MD",
24510260201,"Frankford, Baltimore, MD",
24510280403,"Westgate, Baltimore, MD",
24510150200,"Sandtown-Winchester, Baltimore, MD",
24005401507,"Windsor Mill, Baltimore, MD",
24510070400,"Gay Street, Baltimore, MD",
24510240400,"Riverside Park, Baltimore, MD",
24510260101,"Cedmont, Baltimore, MD",
24510260203,"Frankford, Baltimore, MD",
24510260900,"Baltimore, MD",
24510120202,"Baltimore, MD",
24510190100,"Franklin Square, Baltimore, MD",
24510200100,"Lexington, Baltimore, MD",
24005421101,"Baltimore, MD",
24005402407,"Windsor Mill, Milford Mill, MD",
24510272006,"Glen, Baltimore, MD",
24510140300,"Druid Heights, Baltimore, MD",
24005400600,"Catonsville, MD",
24510020300,"Fells Point, Baltimore, MD",
24510090400,"Better Waverly, Baltimore, MD",
24510270803,"Loch Raven, Baltimore, MD",
24005450100,"Rosedale, MD",
24510250206,"Morrell Park, Baltimore, MD",
24510120500,"Greenmount West, Baltimore, MD",
24005420303,"Dundalk, MD",
24510210100,"Pigtown, Baltimore, MD",
24510220100,"Baltimore, MD",
24005440800,"Rosedale, MD",
24510080800,"Broadway East, Baltimore, MD",
24510270703,"North Harford Road, Baltimore, MD",
24003750202,"Brooklyn Park, MD",
24510150400,"Mondawmin, Baltimore, MD",
24510270901,"New Northwood, Baltimore, MD",
24510070200,"Madison - Eastend, Baltimore, MD",
24005402405,"Gwynn Oak, Baltimore, MD",
24005402404,"Gwynn Oak, Lochearn, MD",
24510090500,"Better Waverly, Baltimore, MD",
24003750102,"Baltimore, MD",
24510250102,"Yale Heights, Baltimore, MD",
24510030200,"Little Italy, Baltimore, MD",
24510250600,"Brooklyn, Baltimore, MD",
24003750400,"Linthicum Heights, MD",
24005451701,"Middle River, MD",
24005452300,"Baltimore, MD",
24005452500,"Dundalk, MD",
24510130400,"Woodbrook, Baltimore, MD",
24510260403,"Cedonia, Baltimore, MD",
24005400702,"Baltimore, MD",
24510151300,"Central Park Heights, Baltimore, MD",
24510260501,"Joseph Lee, Baltimore, MD",
24510260102,"Frankford, Baltimore, MD",
24510280102,"Gwynn Oak, Baltimore, MD",
24510230300,"South Baltimore, Baltimore, MD",
24005980200,"Lansdowne - Baltimore Highlands, Halethorpe, MD",
24005420200,"Dundalk, MD",
24005450200,"Essex, MD",
24510250207,"Cherry Hill, Baltimore, MD",
24005492300,"Essex, MD",
24510270101,"Arcadia, Baltimore, MD",
24005440500,"Nottingham, MD",
24510200400,"Shipley Hill, Baltimore, MD",
24510140100,"Bolton Hill, Baltimore, MD",
24005401000,"Catonsville, MD",
24510170300,"Upton, Baltimore, MD",
24005403202,"Gwynn Oak, Baltimore, MD",
24510070100,"Baltimore, MD",
24005440400,"Baltimore, MD",
24003751200,"Linthicum Heights, MD",
24005403100,"Gwynn Oak, Pikesville, MD",
24005451900,"Edgemere, MD",
24005401505,"Catonsville, MD",
24005400800,"Catonsville, MD",
24005430800,"Halethorpe, MD",
24005420402,"Dundalk, MD",
24510240300,"Riverside, Baltimore, MD",
24510110100,"Downtown, Baltimore, MD",
24510120600,"Old Goucher, Baltimore, MD",
24510271900,"Glen, Baltimore, MD",
24510130700,"Hampden, Baltimore, MD",
24510080101,"Belair - Edison, Baltimore, MD",
24005450400,"Essex, MD",
24510240200,"Riverside, Baltimore, MD",
24510040100,"Downtown, Baltimore, MD",
24005421300,"Dundalk, MD",
24005421000,"Dundalk, MD",
24510010100,"Canton, Baltimore, MD",
24005451300,"Middle River, MD",
24005441101,"Rosedale, MD",
24510010400,"Canton, Baltimore, MD",
24510160400,"Midtown Edmondson, Baltimore, MD",
24510261100,"Canton, Baltimore, MD",
24510260800,"Baltimore Highlands, Baltimore, MD",
24510270902,"Perring Loch, Baltimore, MD",
24510150702,"Walbrook, Baltimore, MD",
24510150300,"Coppin Heights, Baltimore, MD",
24510271002,"Winston - Govans, Baltimore, MD",
24005452100,"Sparrows Point, MD",
24510200200,"Lexington, Baltimore, MD",
24510080400,"Broadway East, Baltimore, MD",
24510271600,"Edgecomb, Baltimore, MD",
24005402403,"Gwynn Oak, Baltimore, MD",
24027601104,"Ellicott City, MD",
24510130804,"Hampden, Baltimore, MD",
24510150600,"NW Community Action, Baltimore, MD",
24510280302,"West Forest Park, Baltimore, MD",
24510080200,"Broadway East, Baltimore, MD",
24510271101,"Radnor - Winston, Baltimore, MD",
24510120300,"Harwood, Baltimore, MD",
24510280401,"Baltimore, MD",
24510260700,"Fifteenth Street, Baltimore, MD",
24510160801,"Edmondson, Baltimore, MD",
24510130200,"Reservoir Hill, Baltimore, MD",
24510100100,"Johnson Square, Baltimore, MD",
24510150100,"Sandtown-Winchester, Baltimore, MD",
24510140200,"Upton, Baltimore, MD",
24510160600,"Mosher, Baltimore, MD",
24003750300,"Linthicum Heights, MD",
24005400200,"Catonsville, MD",
24510080500,"Darley Park, Baltimore, MD",
24003750203,"Baltimore, MD",
24510090200,"Ednor Gardens - Lakeside, Baltimore, MD",
24510170100,"Downtown, Baltimore, MD",
24510260202,"Parkside, Baltimore, MD",
24510270805,"Mid-Govans, Baltimore, MD",
24005420900,"Dundalk, MD",
24510271400,"Evergreen, Baltimore, MD",
24510271001,"Baltimore, MD",
24005401200,"Woodlawn, MD",
24510090600,"Coldstream - Homestead - Montebello, Baltimore, MD",
24510270802,"Ramblewood, Baltimore, MD",
24510250204,"Cherry Hill, Baltimore, MD",
24005451000,"Essex, MD",
24005420702,"Dundalk, MD",
24510180200,"Poppleton, Baltimore, MD",
24510240100,"Locust Point, Baltimore, MD",
24510271801,"Arlington, Baltimore, MD",
24510200600,"Baltimore, MD",
24510200702,"Saint Joseph's, Baltimore, MD",
24005420600,"Baltimore, MD",
24510080102,"Belair - Edison, Baltimore, MD",
24510100300,"Penn - Fallsway, Baltimore, MD",
24510090700,"Coldstream - Homestead - Montebello, Baltimore, MD",
24510250303,"Morrell Park, Baltimore, MD",
24005440900,"Rosedale, MD",
24510100200,"Baltimore, MD",
24510150500,"Burleith-Leighton, Baltimore, MD",
24510070300,"Milton - Montford, Baltimore, MD",
24510130803,"Medfield, Baltimore, MD",
24510120100,"Tuscany - Canterbury, Baltimore, MD",
24510160500,"Bridgeview-Greenlawn, Baltimore, MD",
24005450501,"Essex, MD",
24510030100,"Perkins Homes, Baltimore, MD",
24005400900,"Catonsville, MD",
24510130300,"Penn North, Baltimore, MD",
24510150701,"Hanlon Longwood, Baltimore, MD",
24005401302,"Gwynn Oak, Baltimore, MD",
24510090300,"Ednor Gardens - Lakeside, Baltimore, MD",
24510270401,"Glenham-Belford, Baltimore, MD",
24510270702,"Harford - Echodale - Perring Parkway, Baltimore, MD",
24510260301,"Belair - Edison, Baltimore, MD",
24510080700,"Broadway East, Baltimore, MD",
24005400500,"Catonsville, MD",
24005450800,"Essex, MD",
24510190200,"Pratt Monroe, Baltimore, MD",
24005430700,"Halethorpe, MD",
24005440702,"Rosedale, MD",
24510090900,"Oliver, Baltimore, MD",
24510090800,"East Baltimore Midway, Baltimore, MD",
24510270200,"Lauraville, Baltimore, MD",
24003750101,"Brooklyn Park, MD",
24510280200,"Gwynn Oak, Baltimore, MD",
24005401102,"Gwynn Oak, Woodlawn, MD",
24510130100,"Reservoir Hill, Baltimore, MD",
24510151100,"East Arlington, Baltimore, MD",
24005430200,"Lansdowne - Baltimore Highlands, Lansdowne, MD",
24005451401,"Middle River, MD",
24510280404,"Irvington, Baltimore, MD",
24510200701,"Allendale, Baltimore, MD",
24510060400,"Baltimore, MD",
24510080301,"Berea, Baltimore, MD",
24510271700,"Central Park Heights, Baltimore, MD",
24510270501,"Woodring, Baltimore, MD",
24510271503,"Cross Keys, Baltimore, MD",
24510160200,"Sandtown-Winchester, Baltimore, MD",
24005440200,"Nottingham, MD",
24005441102,"Rosedale, MD",
24510040200,"Downtown, Baltimore, MD",
24510200300,"Bentalou-Smallwood, Baltimore, MD",
24510210200,"Pigtown, Baltimore, MD",
24510270301,"Lauraville, Baltimore, MD",
24510160802,"Edmondson, Baltimore, MD",
24510271300,"Roland Park, Baltimore, MD",
24510080302,"Berea, Baltimore, MD",
24510271802,"Langston Hughes, Baltimore, MD",
24005403402,"Pikesville, MD",
24005452000,"Sparrows Point, MD",
24510250301,"Westport, Baltimore, MD",
24510080600,"Broadway East, Baltimore, MD",
24005400400,"Catonsville, MD",
24510250401,"Brooklyn, Baltimore, MD",
24510110200,"Downtown, Baltimore, MD",
24510120700,"Remington, Baltimore, MD",
24005451100,"Essex, MD",
24510272005,"Cross Country, Baltimore, MD",
24510271501,"Mount Washington, Baltimore, MD",
24005403201,"Gwynn Oak, Lochearn, MD",
24510160100,"Harlem Park, Baltimore, MD",
24510010500,"Upper Fells Point, Baltimore, MD",
24510130805,"Cold Springs, Baltimore, MD",
24005450300,"Essex, MD",
24510020100,"Upper Fells Point, Baltimore, MD",
24005400701,"Catonsville, MD",
24510130600,"Hampden, Baltimore, MD",
24510271102,"Mid-Charles, Baltimore, MD",
24510120400,"Barclay, Baltimore, MD",
