"tract","Name","Household_Income_rW_gP_pall"
24510261100,"Canton, Baltimore, MD",41042
24510260501,"Joseph Lee, Baltimore, MD",40968
24005451500,"Middle River, MD",40930
24005430104,"Lansdowne - Baltimore Highlands, Halethorpe, MD",40776
24510130700,"Hampden, Baltimore, MD",40700
24510260605,"Medford - Broening, Baltimore, MD",40643
24005420402,"Dundalk, MD",40609
24005451402,"Middle River, MD",40577
24510260202,"Parkside, Baltimore, MD",40564
24005450501,"Essex, MD",40236
24510110200,"Downtown, Baltimore, MD",40001
24510130803,"Medfield, Baltimore, MD",39727
24005420302,"Dundalk, MD",39596
24510240400,"Riverside Park, Baltimore, MD",39495
24510260203,"Frankford, Baltimore, MD",39112
24510270803,"Loch Raven, Baltimore, MD",39035
24003750203,"Baltimore, MD",38919
24510060300,"Butchers Hill, Baltimore, MD",38836
24510261000,"Patterson Park, Baltimore, MD",38190
24003750102,"Baltimore, MD",37938
24510090400,"Better Waverly, Baltimore, MD",37918
24005450503,"Essex, MD",37799
24005420301,"Dundalk, MD",37763
24005450800,"Essex, MD",37365
24005421101,"Baltimore, MD",37067
24510010300,"Canton, Baltimore, MD",36759
24510010500,"Upper Fells Point, Baltimore, MD",36720
24510230200,"South Baltimore, Baltimore, MD",36658
24510090300,"Ednor Gardens - Lakeside, Baltimore, MD",36518
24510010200,"Patterson Park, Baltimore, MD",36409
24510130804,"Hampden, Baltimore, MD",36363
24003750101,"Brooklyn Park, MD",36150
24005430300,"Lansdowne - Baltimore Highlands, Halethorpe, MD",36078
24510250401,"Brooklyn, Baltimore, MD",36057
24005420401,"Dundalk, MD",35944
24005450504,"Essex, MD",35917
24510250206,"Morrell Park, Baltimore, MD",35823
24510130600,"Hampden, Baltimore, MD",35351
24510060200,"Baltimore, MD",35205
24005430101,"Lansdowne - Baltimore Highlands, Lansdowne, MD",35181
24005451401,"Middle River, MD",35067
24510090100,"Ednor Gardens - Lakeside, Baltimore, MD",34846
24510260700,"Fifteenth Street, Baltimore, MD",34811
24510020100,"Upper Fells Point, Baltimore, MD",34666
24005421000,"Dundalk, MD",34581
24510260800,"Baltimore Highlands, Baltimore, MD",34295
24510260900,"Baltimore, MD",34279
24005492300,"Essex, MD",34070
24510250303,"Morrell Park, Baltimore, MD",34067
24510240300,"Riverside, Baltimore, MD",34048
24510130806,"Woodberry, Baltimore, MD",33542
24005452300,"Baltimore, MD",33499
24510260303,"Claremont - Freedom, Baltimore, MD",33391
24510280101,"Reisterstown Station, Baltimore, MD",33209
24005402303,"Windsor Mill, Baltimore, MD",33093
24510120600,"Old Goucher, Baltimore, MD",32971
24510250402,"Brooklyn, Baltimore, MD",31455
24510200600,"Baltimore, MD",30674
24510260401,"Armistead Gardens, Baltimore, MD",30140
24510250205,"Lakeland, Baltimore, MD",29928
24510260404,"Baltimore Highlands, Baltimore, MD",28827
24510260604,"O'Donnell Heights, Baltimore, MD",28708
24510250600,"Brooklyn, Baltimore, MD",28679
24510230300,"South Baltimore, Baltimore, MD",28335
24510060100,"Patterson Park, Baltimore, MD",27322
24510250500,"Curtis Bay, Baltimore, MD",26858
24510210200,"Pigtown, Baltimore, MD",26789
24510120700,"Remington, Baltimore, MD",26679
24005403202,"Gwynn Oak, Baltimore, MD",26499
24510230100,"Baltimore, MD",26362
24510030100,"Perkins Homes, Baltimore, MD",25107
24510180300,"Hollins Market, Baltimore, MD",24654
24510070200,"Madison - Eastend, Baltimore, MD",24399
24510200500,"Mill Hill, Baltimore, MD",23959
24510190200,"Pratt Monroe, Baltimore, MD",23887
24510060400,"Baltimore, MD",22463
24510200300,"Bentalou-Smallwood, Baltimore, MD",21704
24510210100,"Pigtown, Baltimore, MD",20907
24510250301,"Westport, Baltimore, MD",20729
24510190300,"Mount Clare, Baltimore, MD",19664
24510200400,"Shipley Hill, Baltimore, MD",10942
24510280500,"Pleasant View Gardens, Baltimore, MD",
24005492500,"Baltimore, MD",
24510180100,"Poppleton, Baltimore, MD",
24510160300,"Sandtown-Winchester, Baltimore, MD",
24510151200,"Park Circle, Baltimore, MD",
24510151000,"Dorchester, Baltimore, MD",
24510150800,"Garwyn Oaks, Baltimore, MD",
24510170200,"McCulloh Homes, Baltimore, MD",
24510250203,"Cherry Hill, Baltimore, MD",
24510260402,"Frankford, Baltimore, MD",
24005402304,"Gwynn Oak, Baltimore, MD",
24510150900,"Windsor Hills, Baltimore, MD",
24510160700,"Rosemont, Baltimore, MD",
24510280402,"Rognel Heights, Baltimore, MD",
24510150200,"Sandtown-Winchester, Baltimore, MD",
24510070400,"Gay Street, Baltimore, MD",
24510190100,"Franklin Square, Baltimore, MD",
24510200100,"Lexington, Baltimore, MD",
24510140300,"Druid Heights, Baltimore, MD",
24510120500,"Greenmount West, Baltimore, MD",
24510080800,"Broadway East, Baltimore, MD",
24510150400,"Mondawmin, Baltimore, MD",
24510270901,"New Northwood, Baltimore, MD",
24510130400,"Woodbrook, Baltimore, MD",
24510260403,"Cedonia, Baltimore, MD",
24510151300,"Central Park Heights, Baltimore, MD",
24510280102,"Gwynn Oak, Baltimore, MD",
24005980200,"Lansdowne - Baltimore Highlands, Halethorpe, MD",
24510250207,"Cherry Hill, Baltimore, MD",
24510170300,"Upton, Baltimore, MD",
24510160400,"Midtown Edmondson, Baltimore, MD",
24510270902,"Perring Loch, Baltimore, MD",
24510150702,"Walbrook, Baltimore, MD",
24510150300,"Coppin Heights, Baltimore, MD",
24510271002,"Winston - Govans, Baltimore, MD",
24510200200,"Lexington, Baltimore, MD",
24510080400,"Broadway East, Baltimore, MD",
24510271600,"Edgecomb, Baltimore, MD",
24005402403,"Gwynn Oak, Baltimore, MD",
24510150600,"NW Community Action, Baltimore, MD",
24510280302,"West Forest Park, Baltimore, MD",
24510080200,"Broadway East, Baltimore, MD",
24510160801,"Edmondson, Baltimore, MD",
24510130200,"Reservoir Hill, Baltimore, MD",
24510100100,"Johnson Square, Baltimore, MD",
24510150100,"Sandtown-Winchester, Baltimore, MD",
24510140200,"Upton, Baltimore, MD",
24510160600,"Mosher, Baltimore, MD",
24510080500,"Darley Park, Baltimore, MD",
24510170100,"Downtown, Baltimore, MD",
24510271001,"Baltimore, MD",
24510090600,"Coldstream - Homestead - Montebello, Baltimore, MD",
24510250204,"Cherry Hill, Baltimore, MD",
24510180200,"Poppleton, Baltimore, MD",
24510271801,"Arlington, Baltimore, MD",
24510200702,"Saint Joseph's, Baltimore, MD",
24510080102,"Belair - Edison, Baltimore, MD",
24510100300,"Penn - Fallsway, Baltimore, MD",
24510090700,"Coldstream - Homestead - Montebello, Baltimore, MD",
24510100200,"Baltimore, MD",
24510150500,"Burleith-Leighton, Baltimore, MD",
24510070300,"Milton - Montford, Baltimore, MD",
24510160500,"Bridgeview-Greenlawn, Baltimore, MD",
24510130300,"Penn North, Baltimore, MD",
24510150701,"Hanlon Longwood, Baltimore, MD",
24510080700,"Broadway East, Baltimore, MD",
24510090900,"Oliver, Baltimore, MD",
24510090800,"East Baltimore Midway, Baltimore, MD",
24510280200,"Gwynn Oak, Baltimore, MD",
24510130100,"Reservoir Hill, Baltimore, MD",
24510151100,"East Arlington, Baltimore, MD",
24510280404,"Irvington, Baltimore, MD",
24510200701,"Allendale, Baltimore, MD",
24510080301,"Berea, Baltimore, MD",
24510271700,"Central Park Heights, Baltimore, MD",
24510160200,"Sandtown-Winchester, Baltimore, MD",
24510040200,"Downtown, Baltimore, MD",
24510160802,"Edmondson, Baltimore, MD",
24510080302,"Berea, Baltimore, MD",
24510271802,"Langston Hughes, Baltimore, MD",
24510080600,"Broadway East, Baltimore, MD",
24510160100,"Harlem Park, Baltimore, MD",
24510130805,"Cold Springs, Baltimore, MD",
24510120400,"Barclay, Baltimore, MD",
